2021-11-26 21:08:33,614 - 
=============================================================================================================================
batch_size                                        : 64                            
device                                            : cuda                          
eval_quali_crsp_n_grids                           : 10                            
eval_quali_rec_n                                  : 1000                          
freq_step_chkpt                                   : 100000                        
freq_step_eval_quali                              : 500                           
freq_step_log                                     : 100                           
gpu_ids                                           : 0                             
lambda_2latent_om                                 : 1000.0                        
lambda_2latent_recon                              : 1000.0                        
lambda_2latent_unif                               : 10.0                          
lambda_2sector_om                                 : 1.0                           
lambda_2sector_recon                              : 1.0                           
lambda_2sector_unif                               : 10.0                          
learning_rate                                     : 0.0001                        
load_from                                         : -1                            
rand_seed                                         : 1678                          
steps                                             : 100000                        
=============================================================================================================================
2021-11-26 21:08:33,615 - Network[F] total number of parameters: 1.053 M. 
2021-11-26 21:08:33,616 - Network[Enc] total number of parameters: 1.055 M. 
2021-11-26 21:08:33,616 - Network[LogDet] total number of parameters: 0.000 M. 
2021-11-26 21:09:00,440 - epoch[0  ], batch[-1 ], step[1699], iter[-1 ] ---> loss_2sector_recon:  0.0074; loss_2sector_om:  0.0000; loss_2sector_unif:  0.3136; loss_2latent_recon:  0.0141; loss_2latent_om:  0.0010; loss_2latent_unif:  0.3193; t_io:  0.0000; t_opt:  1.5213; 
2021-11-26 21:09:01,978 - epoch[0  ], batch[-1 ], step[1799], iter[-1 ] ---> loss_2sector_recon:  0.0084; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2412; loss_2latent_recon:  0.0129; loss_2latent_om:  0.0025; loss_2latent_unif:  0.3020; t_io:  0.0000; t_opt:  1.5287; 
2021-11-26 21:09:03,518 - epoch[0  ], batch[-1 ], step[1899], iter[-1 ] ---> loss_2sector_recon:  0.0077; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2584; loss_2latent_recon:  0.0125; loss_2latent_om:  0.0019; loss_2latent_unif:  0.2513; t_io:  0.0000; t_opt:  1.5264; 
2021-11-26 21:09:05,095 - epoch[0  ], batch[-1 ], step[1999], iter[-1 ] ---> loss_2sector_recon:  0.0074; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2666; loss_2latent_recon:  0.0108; loss_2latent_om:  0.0014; loss_2latent_unif:  0.2702; t_io:  0.0000; t_opt:  1.5682; 
2021-11-26 21:09:07,014 - epoch[0  ], batch[-1 ], step[2099], iter[-1 ] ---> loss_2sector_recon:  0.0077; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2639; loss_2latent_recon:  0.0100; loss_2latent_om:  0.0003; loss_2latent_unif:  0.3701; t_io:  0.0000; t_opt:  1.4651; 
2021-11-26 21:09:08,505 - epoch[0  ], batch[-1 ], step[2199], iter[-1 ] ---> loss_2sector_recon:  0.0061; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2484; loss_2latent_recon:  0.0109; loss_2latent_om:  0.0023; loss_2latent_unif:  0.2740; t_io:  0.0000; t_opt:  1.4819; 
2021-11-26 21:09:09,993 - epoch[0  ], batch[-1 ], step[2299], iter[-1 ] ---> loss_2sector_recon:  0.0063; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2759; loss_2latent_recon:  0.0110; loss_2latent_om:  0.0012; loss_2latent_unif:  0.3410; t_io:  0.0000; t_opt:  1.4789; 
2021-11-26 21:09:11,482 - epoch[0  ], batch[-1 ], step[2399], iter[-1 ] ---> loss_2sector_recon:  0.0061; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2561; loss_2latent_recon:  0.0094; loss_2latent_om:  0.0053; loss_2latent_unif:  0.2635; t_io:  0.0000; t_opt:  1.4792; 
2021-11-26 21:09:12,967 - epoch[0  ], batch[-1 ], step[2499], iter[-1 ] ---> loss_2sector_recon:  0.0059; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2299; loss_2latent_recon:  0.0134; loss_2latent_om:  0.0005; loss_2latent_unif:  0.2629; t_io:  0.0000; t_opt:  1.4707; 
2021-11-26 21:09:14,906 - epoch[0  ], batch[-1 ], step[2599], iter[-1 ] ---> loss_2sector_recon:  0.0054; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2183; loss_2latent_recon:  0.0103; loss_2latent_om:  0.0004; loss_2latent_unif:  0.3387; t_io:  0.0000; t_opt:  1.4316; 
2021-11-26 21:09:16,396 - epoch[0  ], batch[-1 ], step[2699], iter[-1 ] ---> loss_2sector_recon:  0.0072; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2476; loss_2latent_recon:  0.0096; loss_2latent_om:  0.0005; loss_2latent_unif:  0.2371; t_io:  0.0000; t_opt:  1.4809; 
2021-11-26 21:09:17,896 - epoch[0  ], batch[-1 ], step[2799], iter[-1 ] ---> loss_2sector_recon:  0.0060; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2518; loss_2latent_recon:  0.0113; loss_2latent_om:  0.0012; loss_2latent_unif:  0.3134; t_io:  0.0000; t_opt:  1.4853; 
2021-11-26 21:09:19,396 - epoch[0  ], batch[-1 ], step[2899], iter[-1 ] ---> loss_2sector_recon:  0.0051; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1986; loss_2latent_recon:  0.0078; loss_2latent_om:  0.0014; loss_2latent_unif:  0.2356; t_io:  0.0000; t_opt:  1.4895; 
2021-11-26 21:09:20,900 - epoch[0  ], batch[-1 ], step[2999], iter[-1 ] ---> loss_2sector_recon:  0.0057; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2666; loss_2latent_recon:  0.0109; loss_2latent_om:  0.0006; loss_2latent_unif:  0.2674; t_io:  0.0000; t_opt:  1.4960; 
2021-11-26 21:09:22,855 - epoch[0  ], batch[-1 ], step[3099], iter[-1 ] ---> loss_2sector_recon:  0.0038; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2633; loss_2latent_recon:  0.0108; loss_2latent_om:  0.0006; loss_2latent_unif:  0.2985; t_io:  0.0000; t_opt:  1.4561; 
2021-11-26 21:09:24,361 - epoch[0  ], batch[-1 ], step[3199], iter[-1 ] ---> loss_2sector_recon:  0.0043; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2177; loss_2latent_recon:  0.0093; loss_2latent_om:  0.0006; loss_2latent_unif:  0.2320; t_io:  0.0000; t_opt:  1.4996; 
2021-11-26 21:09:25,837 - epoch[0  ], batch[-1 ], step[3299], iter[-1 ] ---> loss_2sector_recon:  0.0040; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2188; loss_2latent_recon:  0.0090; loss_2latent_om:  0.0006; loss_2latent_unif:  0.2591; t_io:  0.0000; t_opt:  1.4699; 
2021-11-26 21:09:27,332 - epoch[0  ], batch[-1 ], step[3399], iter[-1 ] ---> loss_2sector_recon:  0.0041; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2061; loss_2latent_recon:  0.0114; loss_2latent_om:  0.0003; loss_2latent_unif:  0.2425; t_io:  0.0000; t_opt:  1.4830; 
2021-11-26 21:09:28,819 - epoch[0  ], batch[-1 ], step[3499], iter[-1 ] ---> loss_2sector_recon:  0.0042; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2673; loss_2latent_recon:  0.0085; loss_2latent_om:  0.0004; loss_2latent_unif:  0.2846; t_io:  0.0000; t_opt:  1.4758; 
2021-11-26 21:09:30,719 - epoch[0  ], batch[-1 ], step[3599], iter[-1 ] ---> loss_2sector_recon:  0.0037; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2131; loss_2latent_recon:  0.0086; loss_2latent_om:  0.0005; loss_2latent_unif:  0.1799; t_io:  0.0000; t_opt:  1.4435; 
2021-11-26 21:09:32,220 - epoch[0  ], batch[-1 ], step[3699], iter[-1 ] ---> loss_2sector_recon:  0.0022; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1984; loss_2latent_recon:  0.0083; loss_2latent_om:  0.0007; loss_2latent_unif:  0.2007; t_io:  0.0000; t_opt:  1.4887; 
2021-11-26 21:09:33,770 - epoch[0  ], batch[-1 ], step[3799], iter[-1 ] ---> loss_2sector_recon:  0.0023; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2156; loss_2latent_recon:  0.0095; loss_2latent_om:  0.0003; loss_2latent_unif:  0.1984; t_io:  0.0000; t_opt:  1.5425; 
2021-11-26 21:09:35,315 - epoch[0  ], batch[-1 ], step[3899], iter[-1 ] ---> loss_2sector_recon:  0.0019; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1896; loss_2latent_recon:  0.0092; loss_2latent_om:  0.0013; loss_2latent_unif:  0.2136; t_io:  0.0000; t_opt:  1.5369; 
2021-11-26 21:09:36,870 - epoch[0  ], batch[-1 ], step[3999], iter[-1 ] ---> loss_2sector_recon:  0.0026; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2411; loss_2latent_recon:  0.0079; loss_2latent_om:  0.0002; loss_2latent_unif:  0.2819; t_io:  0.0000; t_opt:  1.5509; 
2021-11-26 21:09:38,847 - epoch[0  ], batch[-1 ], step[4099], iter[-1 ] ---> loss_2sector_recon:  0.0014; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1563; loss_2latent_recon:  0.0087; loss_2latent_om:  0.0007; loss_2latent_unif:  0.2393; t_io:  0.0000; t_opt:  1.4692; 
2021-11-26 21:09:40,395 - epoch[0  ], batch[-1 ], step[4199], iter[-1 ] ---> loss_2sector_recon:  0.0021; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1776; loss_2latent_recon:  0.0075; loss_2latent_om:  0.0011; loss_2latent_unif:  0.1860; t_io:  0.0000; t_opt:  1.5334; 
2021-11-26 21:09:41,898 - epoch[0  ], batch[-1 ], step[4299], iter[-1 ] ---> loss_2sector_recon:  0.0026; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2255; loss_2latent_recon:  0.0095; loss_2latent_om:  0.0005; loss_2latent_unif:  0.2473; t_io:  0.0000; t_opt:  1.4946; 
2021-11-26 21:09:43,412 - epoch[0  ], batch[-1 ], step[4399], iter[-1 ] ---> loss_2sector_recon:  0.0017; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1661; loss_2latent_recon:  0.0076; loss_2latent_om:  0.0004; loss_2latent_unif:  0.1978; t_io:  0.0000; t_opt:  1.4999; 
2021-11-26 21:09:44,923 - epoch[0  ], batch[-1 ], step[4499], iter[-1 ] ---> loss_2sector_recon:  0.0014; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2083; loss_2latent_recon:  0.0090; loss_2latent_om:  0.0007; loss_2latent_unif:  0.2470; t_io:  0.0000; t_opt:  1.4966; 
2021-11-26 21:09:46,829 - epoch[0  ], batch[-1 ], step[4599], iter[-1 ] ---> loss_2sector_recon:  0.0009; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1727; loss_2latent_recon:  0.0055; loss_2latent_om:  0.0002; loss_2latent_unif:  0.2170; t_io:  0.0000; t_opt:  1.4543; 
2021-11-26 21:09:48,333 - epoch[0  ], batch[-1 ], step[4699], iter[-1 ] ---> loss_2sector_recon:  0.0019; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1301; loss_2latent_recon:  0.0086; loss_2latent_om:  0.0003; loss_2latent_unif:  0.1566; t_io:  0.0000; t_opt:  1.4900; 
2021-11-26 21:09:49,848 - epoch[0  ], batch[-1 ], step[4799], iter[-1 ] ---> loss_2sector_recon:  0.0012; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1480; loss_2latent_recon:  0.0066; loss_2latent_om:  0.0007; loss_2latent_unif:  0.1864; t_io:  0.0000; t_opt:  1.5030; 
2021-11-26 21:09:51,364 - epoch[0  ], batch[-1 ], step[4899], iter[-1 ] ---> loss_2sector_recon:  0.0012; loss_2sector_om:  0.0000; loss_2sector_unif:  0.2128; loss_2latent_recon:  0.0069; loss_2latent_om:  0.0014; loss_2latent_unif:  0.1755; t_io:  0.0000; t_opt:  1.5073; 
2021-11-26 21:09:52,882 - epoch[0  ], batch[-1 ], step[4999], iter[-1 ] ---> loss_2sector_recon:  0.0012; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1574; loss_2latent_recon:  0.0075; loss_2latent_om:  0.0003; loss_2latent_unif:  0.1777; t_io:  0.0000; t_opt:  1.5111; 
2021-11-26 21:09:54,836 - epoch[0  ], batch[-1 ], step[5099], iter[-1 ] ---> loss_2sector_recon:  0.0009; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1611; loss_2latent_recon:  0.0065; loss_2latent_om:  0.0005; loss_2latent_unif:  0.2058; t_io:  0.0000; t_opt:  1.4588; 
2021-11-26 21:09:56,355 - epoch[0  ], batch[-1 ], step[5199], iter[-1 ] ---> loss_2sector_recon:  0.0010; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1700; loss_2latent_recon:  0.0083; loss_2latent_om:  0.0000; loss_2latent_unif:  0.1976; t_io:  0.0000; t_opt:  1.5095; 
2021-11-26 21:09:57,859 - epoch[0  ], batch[-1 ], step[5299], iter[-1 ] ---> loss_2sector_recon:  0.0012; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1551; loss_2latent_recon:  0.0047; loss_2latent_om:  0.0000; loss_2latent_unif:  0.1276; t_io:  0.0000; t_opt:  1.4955; 
2021-11-26 21:09:59,348 - epoch[0  ], batch[-1 ], step[5399], iter[-1 ] ---> loss_2sector_recon:  0.0011; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1339; loss_2latent_recon:  0.0050; loss_2latent_om:  0.0000; loss_2latent_unif:  0.1698; t_io:  0.0000; t_opt:  1.4771; 
2021-11-26 21:10:00,831 - epoch[0  ], batch[-1 ], step[5499], iter[-1 ] ---> loss_2sector_recon:  0.0008; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1273; loss_2latent_recon:  0.0076; loss_2latent_om:  0.0005; loss_2latent_unif:  0.2498; t_io:  0.0000; t_opt:  1.4770; 
2021-11-26 21:10:02,724 - epoch[0  ], batch[-1 ], step[5599], iter[-1 ] ---> loss_2sector_recon:  0.0005; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1832; loss_2latent_recon:  0.0069; loss_2latent_om:  0.0003; loss_2latent_unif:  0.2287; t_io:  0.0000; t_opt:  1.4563; 
2021-11-26 21:10:04,221 - epoch[0  ], batch[-1 ], step[5699], iter[-1 ] ---> loss_2sector_recon:  0.0011; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1510; loss_2latent_recon:  0.0051; loss_2latent_om:  0.0000; loss_2latent_unif:  0.1523; t_io:  0.0000; t_opt:  1.4848; 
